game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,away_moneyline,home_moneyline,total_line,under_odds,over_odds,away_rest,home_rest,div_game,roof,temp,wind
2022_01_AAA_BBB,2022,REG,1,2022-09-11,Sunday,13:00,AAA,27,BBB,13,Home,-14,40,0,-150,130,42,-110,-110,7,7,1,outdoors,70,8
2022_01_CCC_DDD,2022,REG,1,2022-09-11,Sunday,13:00,CCC,13,DDD,16,Home,3,29,0,180,-220,41,-110,-110,7,7,1,dome,,
2022_02_BBB_CCC,2022,REG,2,2022-09-18,Sunday,13:00,BBB,17,CCC,24,Home,7,41,0,140,-160,40,-110,-110,7,7,0,outdoors,55,15
2022_02_DDD_AAA,2022,REG,2,2022-09-18,Sunday,13:00,DDD,10,AAA,31,Home,21,41,0,260,-320,43,-110,-110,7,7,0,outdoors,72,5
2022_03_AAA_CCC,2022,REG,3,2022-09-25,Sunday,13:00,AAA,28,CCC,17,Home,-11,45,0,-180,155,42,-110,-110,7,7,0,dome,,
2022_03_BBB_DDD,2022,REG,3,2022-09-25,Sunday,13:00,BBB,21,DDD,14,Home,-7,35,0,-125,105,40.5,-110,-110,10,7,1,outdoors,48,20
2022_04_CCC_AAA,2022,REG,4,2022-10-02,Sunday,13:00,CCC,14,AAA,27,Home,13,41,0,240,-280,44,-110,-110,7,7,0,outdoors,65,10
2022_04_DDD_BBB,2022,REG,4,2022-10-02,Sunday,13:00,DDD,10,BBB,24,Home,14,34,0,210,-250,41,-110,-110,7,10,1,closed,,
2022_05_BBB_AAA,2022,REG,5,2022-10-09,Sunday,13:00,BBB,20,AAA,24,Home,4,44,0,190,-230,43,-110,-110,7,7,1,outdoors,60,8
2022_05_DDD_CCC,2022,REG,5,2022-10-09,Sunday,13:00,DDD,13,CCC,21,Home,8,34,0,130,-150,40,-110,-110,7,7,1,dome,,
2022_06_CCC_BBB,2022,REG,6,2022-10-16,Sunday,13:00,CCC,16,BBB,23,Home,7,39,0,170,-200,41,-110,-110,7,7,0,outdoors,50,12
2022_06_AAA_DDD,2022,REG,6,2022-10-16,Sunday,13:00,AAA,34,DDD,17,Home,-17,51,0,-175,150,44,-110,-110,7,7,0,outdoors,68,6
2023_01_AAA_BBB,2023,REG,1,2023-09-10,Sunday,13:00,AAA,24,BBB,10,Home,-14,34,0,-150,130,41,-110,-110,7,7,1,outdoors,68,7
2023_01_CCC_DDD,2023,REG,1,2023-09-10,Sunday,13:00,CCC,17,DDD,20,Home,3,37,0,180,-220,41,-110,-110,7,7,1,dome,,
2023_02_BBB_CCC,2023,REG,2,2023-09-17,Sunday,13:00,BBB,14,CCC,21,Home,7,35,0,140,-160,40,-110,-110,7,7,0,outdoors,62,11
2023_02_DDD_AAA,2023,REG,2,2023-09-17,Sunday,13:00,DDD,10,AAA,27,Home,17,37,0,260,-320,43,-110,-110,7,7,0,outdoors,70,4
2023_03_AAA_CCC,2023,REG,3,2023-09-24,Sunday,13:00,AAA,31,CCC,14,Home,-17,45,0,-180,155,42,-110,-110,7,7,0,dome,,
2023_03_BBB_DDD,2023,REG,3,2023-09-24,Sunday,13:00,BBB,20,DDD,17,Home,-3,37,0,-125,105,40.5,-110,-110,10,7,1,outdoors,51,18
2023_04_CCC_AAA,2023,REG,4,2023-10-01,Sunday,13:00,CCC,13,AAA,24,Home,11,37,0,240,-280,44,-110,-110,7,7,0,outdoors,66,9
2023_04_DDD_BBB,2023,REG,4,2023-10-01,Sunday,13:00,DDD,7,BBB,28,Home,21,35,0,210,-250,41,-110,-110,7,10,1,closed,,
2023_05_BBB_AAA,2023,REG,5,2023-10-08,Sunday,13:00,BBB,21,AAA,14,Home,-7,35,0,190,-230,43,-110,-110,7,7,1,outdoors,58,8
2023_05_DDD_CCC,2023,REG,5,2023-10-08,Sunday,13:00,DDD,16,CCC,19,Home,3,35,0,130,-150,40,-110,-110,7,7,1,dome,,
2023_06_CCC_BBB,2023,REG,6,2023-10-15,Sunday,13:00,CCC,10,BBB,27,Home,17,37,0,170,-200,41,-110,-110,7,7,0,outdoors,54,13
2023_06_AAA_DDD,2023,REG,6,2023-10-15,Sunday,13:00,AAA,30,DDD,20,Home,-10,50,0,-175,150,44,-110,-110,7,7,0,outdoors,64,6
