game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,away_moneyline,home_moneyline,total_line,under_odds,over_odds
2023_01_AAA_BBB,2023,REG,1,2023-09-10,Sunday,13:00,AAA,24,BBB,10,Home,-14,34,0,-150,130,41,-110,-110
2023_01_CCC_DDD,2023,REG,1,2023-09-10,Sunday,13:00,CCC,17,DDD,20,Home,3,37,0,180,-220,41,-110,-110
2023_02_BBB_CCC,2023,REG,2,2023-09-17,Sunday,13:00,BBB,14,CCC,21,Home,7,35,0,140,-160,40,-110,-110
2023_02_DDD_AAA,2023,REG,2,2023-09-17,Sunday,13:00,DDD,10,AAA,27,Home,17,37,0,260,-320,43,-110,-110
2023_03_AAA_CCC,2023,REG,3,2023-09-24,Sunday,13:00,AAA,31,CCC,14,Home,-17,45,0,-180,155,42,-110,-110
2023_03_BBB_DDD,2023,REG,3,2023-09-24,Sunday,13:00,BBB,20,DDD,17,Home,-3,37,0,-125,105,40.5,-110,-110
2023_04_CCC_AAA,2023,REG,4,2023-10-01,Sunday,13:00,CCC,13,AAA,24,Home,11,37,0,240,-280,44,-110,-110
2023_04_DDD_BBB,2023,REG,4,2023-10-01,Sunday,13:00,DDD,7,BBB,28,Home,21,35,0,210,-250,41,-110,-110
2023_05_BBB_AAA,2023,REG,5,2023-10-08,Sunday,13:00,BBB,21,AAA,14,Home,-7,35,0,190,-230,43,-110,-110
2023_05_DDD_CCC,2023,REG,5,2023-10-08,Sunday,13:00,DDD,16,CCC,19,Home,3,35,0,130,-150,40,-110,-110
2023_06_CCC_BBB,2023,REG,6,2023-10-15,Sunday,13:00,CCC,10,BBB,27,Home,17,37,0,170,-200,41,-110,-110
2023_06_AAA_DDD,2023,REG,6,2023-10-15,Sunday,13:00,AAA,30,DDD,20,Home,-10,50,0,-175,150,44,-110,-110
2023_19_BBB_AAA,2023,WC,19,2024-01-14,Sunday,13:00,BBB,17,AAA,20,Home,3,37,0,165,-190,42,-110,-110
2024_01_AAA_BBB,2024,REG,1,2024-09-08,Sunday,13:00,AAA,27,BBB,21,Home,-6,48,0,-140,120,45.5,-110,-110
2024_01_CCC_DDD,2024,REG,1,2024-09-08,Sunday,13:00,CCC,14,DDD,28,Home,14,42,0,155,-175,41,-110,-110
2024_02_AAA_BBB,2024,REG,2,2024-09-15,Sunday,13:00,AAA,,BBB,,Home,,,0,-135,115,44,-110,-110
